Maturity,Strike,Annual_Return,Annual_Vol,Sharpe,Max_DD,Final_IL
1M,K1-2%/K2-5%/KF+0%,0.24604283778119496,0.121385853793653,2.0269481994125083,0.14483041275705594,885.8672595678661
1M,K1-5%/K2-10%/KF+0%,0.24751695635216753,0.12877955755097265,1.9220205524793565,0.13219376301742608,896.3150765479486
1M,K1-5%/K2-15%/KF+0%,0.23231858329992372,0.12255261918616142,1.8956639592257447,0.09546954230888985,793.7243920646636
1M,K1-2%/K2-10%/KF+0%,0.18838062402157707,0.10718236792879357,1.757571022751871,0.11184551360022636,553.7443721453471
1M,K1-2%/K2-15%/KF+0%,0.17362389155922675,0.10134324195513368,1.7132261432498173,0.07551895234351325,489.2100163670012
3M,K1-5%/K2-15%/KF+2%,0.1296446409635712,0.09616380633179218,1.3481646152426696,0.08957760284962507,328.2335743445638
3M,K1-5%/K2-15%/KF+0%,0.11763777747115012,0.0874848465203727,1.344664615074288,0.06402208401605367,295.7572925546671
3M,K1-2%/K2-15%/KF+2%,0.10584238648085553,0.08095870045544488,1.307362715624434,0.051914896175132105,266.6914019739563
3M,K1-2%/K2-5%/KF+2%,0.1474248368158919,0.11442740184804619,1.2883700445428679,0.1371881419617136,382.2182335224431
3M,K1-5%/K2-10%/KF+2%,0.1413500015409357,0.11021637256496301,1.2824773511541772,0.11598298537590827,362.9390737102863
3M,K1-5%/K2-10%/KF+0%,0.12940234041058507,0.10143188292977946,1.2757560707038176,0.10693896082728513,327.54778194612766
3M,K1-2%/K2-5%/KF+0%,0.13539170596961392,0.10640198952871903,1.2724546464713449,0.12814411741309056,344.8821716187233
3M,K1-2%/K2-15%/KF+0%,0.09376994239557401,0.07374572768344995,1.2715305054426618,0.04128408131584944,239.6229158557839
3M,K1-2%/K2-10%/KF+2%,0.11771147666168713,0.09402073959058573,1.2519735238657232,0.09570252929219264,295.9474997833527
3M,K1-2%/K2-10%/KF+0%,0.10568795826690236,0.08636363827511472,1.223755279163081,0.08665850474356951,266.3285063548461
3M,K1-5%/K2-15%/KF+5%,0.13054005488352427,0.10941311385953195,1.1930933165024054,0.12034622117909749,330.7790922264697
3M,K1-2%/K2-5%/KF+5%,0.1481853801140225,0.1267556023490043,1.169063752354032,0.146950111151983,384.6955154796342
3M,K1-5%/K2-10%/KF+5%,0.14209047695666,0.12314026945511293,1.1538912297772321,0.1257449545661778,365.2413802641744
1M,K1-2%/K2-5%/KF+2%,0.13856201100674692,0.12078622761827158,1.147167303251272,0.15651043167305714,362.13499978399506
3M,K1-2%/K2-15%/KF+5%,0.10695395130125163,0.09404659213731105,1.1372443048770489,0.08353376637804039,269.3166226779711
3M,K1-2%/K2-10%/KF+5%,0.11867657451274649,0.10687598013701038,1.1104139055436801,0.1054644984824621,298.44843299731343
1M,K1-5%/K2-10%/KF+2%,0.13989598000782322,0.12832176459847608,1.090196822382885,0.1473582048053072,366.3645568486794
1M,K1-5%/K2-15%/KF+2%,0.12589910474374522,0.12216794455655924,1.0305412373166234,0.15893096532451156,324.11797375926324
1M,K1-2%/K2-10%/KF+2%,0.08547806637210065,0.10669420029629469,0.8011500731504069,0.12719242718984566,225.54962137116087
1M,K1-2%/K2-15%/KF+2%,0.07189057139135668,0.10094358054459494,0.7121856685041681,0.11950275232406417,199.06365333189467
1M,K1-2%/K2-5%/KF+5%,0.07531171415529458,0.1190221964956939,0.6327535230625599,0.16956486602673057,205.45461661817504
1M,K1-5%/K2-10%/KF+5%,0.07651951345891583,0.1270505929229709,0.6022759256645783,0.19139380549332188,207.75456350337714
1M,K1-5%/K2-15%/KF+5%,0.06319297206465868,0.1212258080801842,0.5212831579795286,0.22415290136272908,183.61294520664202
1M,K1-2%/K2-10%/KF+5%,0.024876833791457997,0.10541581247947936,0.2359876872959701,0.1555701001088739,127.59317914982526
1M,K1-2%/K2-15%/KF+5%,0.011942296227848148,0.10006877421110635,0.11934088652524641,0.19207729666840054,112.4936063065303
