Maturity,Strike,Annual_Return,Annual_Vol,Sharpe,Max_DD,Final_IL
2W,C+0%/P-2%,0.08922160682859226,0.03851501942146418,2.316540616330823,0.06754024804522915,234.2554002066633
2W,C+0%/P-5%,0.16963340131025473,0.07416267042337346,2.2873151727394143,0.11672362962931966,476.2085979559391
2W,C+1%/P-5%,0.19855315304277577,0.09064968102975182,2.190334822883815,0.14784519585523512,607.367663359548
2W,C+0%/P-1%,0.04491583929799292,0.021957371122183666,2.0455927555286513,0.04308512472801904,154.90160925713298
2W,C+1%/P-2%,0.11672764614604425,0.05762309229931557,2.0257095113833503,0.09999088664027606,300.31014867955093
1M,C+0%/P-5%,0.11080423621107527,0.05679071551161796,1.9510977316073346,0.09846931086175414,283.5124571660062
1M,C+0%/P-2%,0.05622996203078112,0.029101370584842672,1.9322100952890604,0.03927506397285115,172.03030361605366
2W,C+2%/P-5%,0.2028380808677055,0.10552887152379606,1.922109825859048,0.17171582792849938,629.3451162020051
1M,C+0%/P-1%,0.033240797430989844,0.0174212152777446,1.9080642137207602,0.01905609150040135,138.30312622211352
3M,C+1%/P-0%,0.03026507394001654,0.015904613569098364,1.9029116179735184,0.01114381383423668,133.7372935926718
3M,C+0%/P-1%,0.028878292428436536,0.01547791605566472,1.8657739404050746,0.009139977281408498,131.99243577858297
3M,C+1%/P-1%,0.03957677261365644,0.021596075423372024,1.8325909609866005,0.022461703612772707,145.99955517080434
3M,C+0%/P-2%,0.03783234869507601,0.020668332670525803,1.830449959276447,0.024335912545369435,143.62837013076324
1M,C+1%/P-5%,0.12681683166731328,0.06929072726218828,1.8302136040144696,0.11102526042446681,326.74740360492103
3M,C+2%/P-0%,0.0401550564423252,0.022482211424257725,1.786081257068819,0.02060903725321748,146.79333085795545
3M,C+1%/P-2%,0.048532870665497496,0.02806782858921363,1.7291280838215077,0.038013676550555715,158.73583671140554
3M,C+2%/P-1%,0.049464249611298916,0.029266215263993374,1.6901484925574048,0.03529215119083155,160.11594226993014
2W,C+1%/P-1%,0.07162556965367317,0.042408169761128295,1.688956869799314,0.07619818959410611,199.17668079724595
1M,C+2%/P-5%,0.1371128233269545,0.0814022640614948,1.6843858694565736,0.12760907516653844,357.58992565781284
1M,C+1%/P-2%,0.07182164840047456,0.04313892856306539,1.664891799421432,0.05062890041408864,198.93675764733896
1M,C+0%/P-0%,0.013043929100646778,0.007850223670418892,1.6615996751530453,0.02216326412407249,113.71395368797455
3M,C+2%/P-2%,0.05842248573665265,0.036041103941440354,1.620996011431215,0.050707379609901994,173.95055245480873
2W,C+2%/P-2%,0.12110043706079954,0.07473053180936758,1.6204947847784408,0.12484596397886322,312.23040909314824
3M,C+0%/P-5%,0.061295825143087956,0.039597082361952536,1.5479884245710231,0.06272580890225785,178.6098658884794
1M,C+1%/P-1%,0.048676305139966125,0.03192561878969461,1.52467851792049,0.03869517273353787,160.21177460675472
3M,C+1%/P-5%,0.07201468168005265,0.04733865072806135,1.5212660389022004,0.07604132448296239,196.9958825915424
1M,C+1%/P-0%,0.02841780874041544,0.018833115218097843,1.5089276740104633,0.03316344834391842,132.03277561493803
3M,C+2%/P-5%,0.081923005162855,0.055067371397367414,1.4876868658156337,0.08839708405182546,215.48372033195326
3M,C+0%/P-0%,0.019563777445970043,0.01333612174243977,1.466976518646489,0.005807177643029607,120.79261334393928
1M,C+2%/P-2%,0.08191074100082418,0.05668722146676854,1.4449595319968591,0.06441963194797903,218.30568123531586
3M,C+5%/P-5%,0.10289654228579903,0.07697110666360965,1.3368203569618986,0.1201227440457325,259.8448165296413
3M,C+5%/P-2%,0.07939631102343991,0.059427304118650444,1.3360241087988791,0.08330925336736676,210.6270098513177
3M,C+5%/P-1%,0.07044950934409444,0.05297188265137574,1.3299415806635444,0.0682480640666489,194.20943620967952
3M,C+5%/P-0%,0.06116288068336284,0.046197982387693,1.3239296939438732,0.05390040731422567,178.39184111248625
1M,C+2%/P-1%,0.05869458120770332,0.04609482439829729,1.2733442848275924,0.06785829783722161,176.05269510665713
2W,C+2%/P-1%,0.0760241300649791,0.06080110757052004,1.250374098478431,0.1028704760035816,207.4709653228078
1M,C+5%/P-5%,0.12560333029332393,0.10722721810399413,1.1713754447262426,0.15657237434679924,323.27459740837446
1M,C+2%/P-0%,0.03843524752526606,0.0333936208405794,1.1509757420063942,0.06056317497023895,145.3547597219953
2W,C+1%/P-0%,0.026096558818016424,0.024079939492541974,1.0837468601654516,0.05423818312030164,129.2523160623715
2W,C+5%/P-5%,0.13540540801440648,0.12783218916354352,1.0592434417373082,0.21265203556142662,354.25913232399216
1M,C+5%/P-2%,0.07135138657261608,0.08519182697388394,0.8375379318310578,0.11263115806011545,198.07288726279646
2W,C+2%/P-0%,0.030582775899359982,0.044214023942891874,0.6916985420476903,0.08956475233259382,134.99249878528013
1M,C+5%/P-1%,0.04855497269812559,0.07586944075739993,0.6399806326948545,0.12586275917437817,160.02804818500718
2W,C+5%/P-2%,0.058531457889886784,0.09966774199419258,0.587265816589858,0.17210070820320378,176.2208868983432
1M,C+5%/P-0%,0.028751073115655057,0.06477041033592898,0.44389209465462454,0.13805431945446003,132.4576830207514
2W,C+5%/P-1%,0.016088686658716433,0.08730164218225499,0.18428847678636948,0.18188497578066573,117.23062882454559
2W,C+0%/P-0%,9.620801882581631e-05,0.005418813559218859,0.017754443435711236,0.09807159434483878,100.09586755523507
2W,C+5%/P-0%,-0.02664292602130469,0.07285942817926906,-0.36567574968815764,0.3284222953780703,76.41652498132076
